size of the array,time of ArrayStack,time of LinkedListStack
318,83.0,167.0
319,42.0,125.0
320,83.0,167.0
321,42.0,125.0
322,42.0,125.0
323,83.0,125.0
324,41.0,167.0
325,83.0,167.0
326,41.0,125.0
327,84.0,166.0
328,42.0,167.0
329,83.0,167.0
330,41.0,167.0
331,83.0,167.0
332,83.0,167.0
333,41.0,167.0
334,83.0,167.0
335,84.0,125.0
336,84.0,125.0
337,41.0,167.0
338,83.0,125.0
339,42.0,166.0
340,84.0,83.0
341,84.0,166.0
342,42.0,208.0
343,83.0,167.0
344,42.0,166.0
345,41.0,208.0
346,42.0,167.0
347,42.0,125.0
348,83.0,167.0
349,83.0,125.0
350,83.0,167.0
351,84.0,166.0
352,83.0,167.0
353,42.0,166.0
354,42.0,167.0
355,83.0,167.0
356,42.0,166.0
357,41.0,125.0
358,42.0,166.0
359,42.0,166.0
360,83.0,167.0
361,41.0,125.0
362,41.0,125.0
363,83.0,125.0
364,83.0,167.0
365,125.0,125.0
366,83.0,167.0
367,83.0,125.0
368,41.0,167.0
369,41.0,125.0
370,83.0,125.0
371,42.0,125.0
372,83.0,167.0
373,42.0,125.0
374,83.0,166.0
375,42.0,125.0
376,83.0,166.0
377,42.0,125.0
378,83.0,167.0
379,0.0,167.0
380,42.0,125.0
381,83.0,167.0
382,42.0,125.0
383,42.0,125.0
384,292.0,625.0
385,83.0,166.0
386,42.0,125.0
387,83.0,167.0
388,84.0,166.0
389,84.0,166.0
390,84.0,166.0
391,41.0,125.0
392,42.0,125.0
393,41.0,125.0
394,83.0,167.0
395,42.0,125.0
396,42.0,125.0
397,42.0,125.0
398,84.0,166.0
399,83.0,167.0
400,84.0,166.0
401,5541.0,167.0
402,42.0,125.0
403,41.0,125.0
404,42.0,125.0
405,42.0,125.0
406,83.0,167.0
407,42.0,125.0
408,83.0,167.0
409,84.0,166.0
410,84.0,166.0
411,83.0,167.0
412,42.0,166.0
413,42.0,167.0
414,41.0,167.0
415,42.0,167.0
416,41.0,125.0
417,83.0,167.0
418,84.0,125.0
419,42.0,125.0
420,41.0,125.0
421,84.0,125.0
422,42.0,125.0
423,41.0,125.0
424,42.0,166.0
425,83.0,167.0
426,41.0,125.0
427,83.0,167.0
428,42.0,125.0
429,83.0,167.0
430,83.0,125.0
431,41.0,125.0
432,42.0,125.0
433,42.0,125.0
434,42.0,166.0
435,84.0,125.0
436,42.0,125.0
437,84.0,166.0
438,83.0,167.0
439,41.0,125.0
440,41.0,125.0
441,41.0,167.0
442,42.0,166.0
443,42.0,125.0
444,83.0,167.0
445,42.0,166.0
446,83.0,125.0
447,42.0,167.0
448,41.0,125.0
449,42.0,125.0
450,83.0,167.0
451,84.0,166.0
452,41.0,167.0
453,42.0,166.0
454,41.0,167.0
455,42.0,166.0
456,41.0,167.0
457,42.0,166.0
458,84.0,125.0
459,42.0,166.0
460,42.0,166.0
461,41.0,125.0
462,83.0,125.0
463,41.0,167.0
464,42.0,167.0
465,41.0,167.0
466,42.0,125.0
467,42.0,125.0
468,42.0,125.0
469,84.0,208.0
470,83.0,125.0
471,42.0,166.0
472,84.0,166.0
473,41.0,167.0
474,42.0,125.0
475,42.0,125.0
476,41.0,167.0
477,84.0,125.0
478,83.0,166.0
479,83.0,167.0
480,84.0,166.0
481,83.0,167.0
482,42.0,125.0
483,83.0,167.0
484,42.0,166.0
485,83.0,125.0
486,83.0,125.0
487,42.0,166.0
488,83.0,125.0
489,42.0,167.0
490,42.0,166.0
491,83.0,167.0
492,42.0,166.0
493,83.0,125.0
494,83.0,125.0
495,42.0,167.0
496,42.0,167.0
497,83.0,125.0
498,125.0,167.0
499,42.0,166.0
500,84.0,166.0
501,41.0,167.0
502,84.0,166.0
503,83.0,167.0
504,41.0,167.0
505,83.0,125.0
506,42.0,208.0
507,42.0,167.0
508,42.0,125.0
509,83.0,167.0
510,42.0,125.0
511,41.0,375.0
512,2208.0,3666.0
513,125.0,292.0
514,84.0,208.0
515,42.0,167.0
516,42.0,166.0
517,42.0,166.0
518,84.0,166.0
519,42.0,167.0
520,84.0,166.0
521,41.0,125.0
522,84.0,166.0
523,41.0,125.0
524,84.0,125.0
525,83.0,167.0
526,42.0,167.0
527,83.0,125.0
528,41.0,1292.0
529,83.0,167.0
530,42.0,167.0
531,42.0,125.0
532,83.0,125.0
533,42.0,125.0
534,42.0,125.0
535,42.0,125.0
536,42.0,125.0
537,42.0,125.0
