size of the array,time of ArrayStack,time of LinkedListStack
1350,42.0,125.0
1351,41.0,125.0
1352,42.0,84.0
1353,41.0,125.0
1354,42.0,125.0
1355,41.0,125.0
1356,42.0,83.0
1357,41.0,125.0
1358,42.0,125.0
1359,42.0,125.0
1360,42.0,125.0
1361,42.0,125.0
1362,41.0,125.0
1363,41.0,125.0
1364,41.0,125.0
1365,41.0,125.0
1366,0.0,125.0
1367,42.0,125.0
1368,42.0,125.0
1369,42.0,125.0
1370,42.0,125.0
1371,41.0,125.0
1372,42.0,125.0
1373,42.0,83.0
1374,42.0,83.0
1375,42.0,125.0
1376,42.0,125.0
1377,42.0,125.0
1378,42.0,84.0
1379,42.0,84.0
1380,41.0,125.0
1381,42.0,167.0
1382,42.0,125.0
1383,42.0,125.0
1384,42.0,125.0
1385,42.0,83.0
1386,42.0,125.0
1387,0.0,125.0
1388,42.0,125.0
1389,41.0,83.0
1390,42.0,125.0
1391,41.0,125.0
1392,41.0,125.0
1393,42.0,125.0
1394,42.0,125.0
1395,42.0,83.0
1396,42.0,125.0
1397,42.0,84.0
1398,41.0,83.0
1399,41.0,125.0
1400,41.0,125.0
1401,41.0,83.0
1402,42.0,125.0
1403,41.0,83.0
1404,42.0,125.0
1405,42.0,125.0
1406,41.0,125.0
1407,42.0,125.0
1408,42.0,417.0
1409,41.0,125.0
1410,42.0,125.0
1411,42.0,125.0
1412,0.0,125.0
1413,41.0,125.0
1414,0.0,125.0
1415,42.0,83.0
1416,41.0,125.0
1417,42.0,125.0
1418,42.0,125.0
1419,42.0,125.0
1420,84.0,125.0
1421,83.0,84.0
1422,42.0,83.0
1423,42.0,83.0
1424,42.0,125.0
1425,42.0,84.0
1426,41.0,125.0
1427,42.0,125.0
1428,42.0,125.0
1429,42.0,125.0
1430,42.0,125.0
1431,42.0,125.0
1432,41.0,84.0
1433,41.0,125.0
1434,42.0,125.0
1435,42.0,125.0
1436,42.0,125.0
1437,42.0,125.0
1438,42.0,84.0
1439,42.0,83.0
1440,42.0,84.0
1441,41.0,125.0
1442,41.0,125.0
1443,41.0,125.0
1444,42.0,125.0
1445,42.0,125.0
1446,84.0,125.0
1447,41.0,125.0
1448,42.0,125.0
1449,41.0,83.0
1450,42.0,125.0
1451,42.0,125.0
1452,41.0,125.0
1453,41.0,125.0
1454,41.0,83.0
1455,42.0,125.0
1456,42.0,125.0
1457,42.0,125.0
1458,42.0,125.0
1459,42.0,125.0
1460,42.0,125.0
1461,42.0,125.0
1462,41.0,125.0
1463,41.0,125.0
1464,41.0,125.0
1465,42.0,125.0
1466,42.0,125.0
1467,42.0,125.0
1468,41.0,125.0
1469,42.0,125.0
1470,42.0,125.0
1471,0.0,125.0
1472,42.0,125.0
1473,42.0,125.0
1474,42.0,125.0
1475,42.0,125.0
1476,42.0,125.0
1477,41.0,125.0
1478,83.0,83.0
1479,0.0,125.0
1480,42.0,83.0
1481,41.0,125.0
1482,42.0,83.0
1483,42.0,125.0
1484,42.0,125.0
1485,42.0,83.0
1486,42.0,83.0
1487,41.0,125.0
1488,41.0,125.0
1489,42.0,83.0
1490,41.0,125.0
1491,41.0,125.0
1492,0.0,125.0
1493,41.0,125.0
1494,42.0,125.0
1495,42.0,167.0
1496,0.0,125.0
1497,42.0,125.0
1498,42.0,125.0
1499,42.0,125.0
1500,42.0,125.0
1501,42.0,125.0
1502,42.0,125.0
1503,42.0,125.0
1504,41.0,125.0
1505,42.0,125.0
1506,42.0,125.0
1507,42.0,125.0
1508,41.0,125.0
1509,42.0,84.0
1510,42.0,125.0
1511,0.0,125.0
1512,42.0,83.0
1513,42.0,125.0
1514,41.0,125.0
1515,42.0,125.0
1516,42.0,125.0
1517,42.0,83.0
1518,42.0,125.0
1519,42.0,125.0
1520,42.0,125.0
1521,42.0,125.0
1522,42.0,83.0
1523,41.0,83.0
1524,41.0,84.0
1525,42.0,83.0
1526,41.0,125.0
1527,42.0,125.0
1528,42.0,83.0
1529,41.0,125.0
1530,41.0,83.0
1531,42.0,83.0
1532,42.0,84.0
1533,41.0,125.0
1534,41.0,83.0
1535,42.0,291.0
1536,167.0,625.0
1537,42.0,125.0
1538,41.0,125.0
1539,41.0,125.0
1540,0.0,125.0
1541,42.0,125.0
1542,42.0,83.0
1543,83.0,125.0
1544,42.0,125.0
1545,41.0,125.0
1546,41.0,125.0
1547,42.0,125.0
1548,0.0,125.0
1549,42.0,125.0
1550,41.0,125.0
1551,83.0,125.0
1552,42.0,125.0
1553,42.0,125.0
1554,42.0,125.0
1555,41.0,125.0
1556,42.0,125.0
1557,42.0,125.0
1558,41.0,83.0
1559,41.0,125.0
1560,0.0,125.0
1561,42.0,125.0
1562,42.0,125.0
1563,42.0,125.0
1564,42.0,125.0
1565,41.0,84.0
1566,42.0,125.0
1567,42.0,125.0
1568,42.0,125.0
1569,41.0,125.0
1570,42.0,84.0
1571,41.0,83.0
1572,41.0,125.0
1573,41.0,125.0
1574,42.0,125.0
1575,41.0,83.0
1576,42.0,125.0
1577,42.0,84.0
1578,42.0,125.0
1579,42.0,125.0
1580,41.0,125.0
1581,42.0,84.0
1582,42.0,125.0
1583,41.0,125.0
1584,42.0,125.0
1585,42.0,125.0
1586,42.0,125.0
1587,42.0,83.0
1588,0.0,125.0
1589,42.0,83.0
1590,42.0,125.0
1591,0.0,125.0
1592,0.0,125.0
1593,42.0,125.0
1594,41.0,125.0
1595,0.0,1083.0
1596,42.0,125.0
1597,42.0,83.0
1598,41.0,125.0
1599,0.0,125.0
1600,83.0,83.0
1601,5000.0,166.0
1602,41.0,125.0
1603,83.0,84.0
1604,41.0,125.0
1605,42.0,125.0
1606,42.0,125.0
1607,41.0,125.0
1608,83.0,125.0
1609,42.0,125.0
1610,42.0,125.0
1611,42.0,125.0
1612,41.0,84.0
1613,42.0,125.0
1614,41.0,83.0
1615,42.0,125.0
1616,42.0,83.0
1617,42.0,125.0
1618,42.0,125.0
1619,41.0,125.0
1620,0.0,125.0
1621,41.0,125.0
1622,42.0,125.0
1623,41.0,84.0
1624,42.0,125.0
1625,42.0,125.0
1626,41.0,125.0
1627,42.0,84.0
1628,84.0,125.0
1629,41.0,84.0
1630,0.0,125.0
1631,42.0,83.0
1632,41.0,125.0
1633,42.0,84.0
1634,42.0,125.0
1635,41.0,125.0
1636,42.0,125.0
1637,42.0,125.0
1638,42.0,125.0
1639,42.0,125.0
1640,42.0,125.0
1641,83.0,167.0
1642,42.0,83.0
1643,41.0,167.0
1644,42.0,83.0
1645,42.0,125.0
1646,42.0,125.0
1647,41.0,125.0
1648,42.0,125.0
1649,41.0,125.0
1650,42.0,125.0
1651,42.0,83.0
1652,42.0,125.0
1653,41.0,125.0
1654,41.0,125.0
1655,41.0,125.0
1656,41.0,125.0
1657,0.0,125.0
1658,41.0,125.0
1659,42.0,125.0
1660,42.0,125.0
1661,0.0,125.0
1662,41.0,125.0
1663,42.0,83.0
1664,42.0,584.0
1665,42.0,125.0
1666,41.0,125.0
1667,41.0,125.0
1668,42.0,125.0
1669,42.0,125.0
1670,42.0,125.0
1671,0.0,125.0
1672,0.0,125.0
1673,41.0,83.0
1674,83.0,125.0
1675,41.0,83.0
1676,41.0,125.0
1677,84.0,125.0
1678,41.0,125.0
1679,42.0,125.0
1680,83.0,125.0
1681,42.0,125.0
1682,0.0,125.0
1683,41.0,125.0
1684,42.0,125.0
1685,42.0,125.0
1686,41.0,84.0
1687,41.0,125.0
1688,42.0,83.0
1689,41.0,125.0
1690,42.0,2250.0
1691,41.0,167.0
1692,42.0,125.0
1693,42.0,84.0
1694,41.0,83.0
1695,83.0,125.0
1696,42.0,83.0
1697,41.0,125.0
1698,42.0,125.0
1699,42.0,125.0
1700,42.0,83.0
1701,42.0,125.0
1702,0.0,125.0
1703,41.0,125.0
1704,42.0,125.0
1705,41.0,125.0
1706,0.0,166.0
1707,42.0,125.0
1708,42.0,83.0
1709,83.0,125.0
1710,42.0,125.0
1711,42.0,125.0
1712,42.0,83.0
1713,42.0,125.0
1714,42.0,458.0
1715,42.0,1333.0
1716,41.0,83.0
1717,42.0,42.0
1718,42.0,83.0
1719,42.0,83.0
1720,42.0,42.0
1721,41.0,42.0
1722,42.0,41.0
1723,42.0,41.0
1724,42.0,41.0
1725,42.0,41.0
1726,42.0,42.0
1727,0.0,83.0
1728,0.0,41.0
1729,41.0,42.0
1730,42.0,42.0
1731,42.0,41.0
1732,42.0,41.0
1733,42.0,41.0
1734,41.0,42.0
1735,0.0,42.0
1736,42.0,41.0
1737,42.0,41.0
1738,41.0,42.0
1739,41.0,42.0
1740,83.0,84.0
1741,42.0,42.0
1742,42.0,42.0
1743,41.0,42.0
1744,41.0,42.0
1745,42.0,41.0
1746,41.0,42.0
1747,41.0,42.0
1748,42.0,41.0
1749,0.0,41.0
1750,42.0,41.0
1751,0.0,42.0
1752,42.0,42.0
1753,41.0,42.0
1754,42.0,41.0
1755,42.0,42.0
1756,42.0,41.0
1757,42.0,42.0
1758,42.0,42.0
1759,42.0,41.0
1760,41.0,42.0
1761,42.0,42.0
1762,42.0,42.0
1763,42.0,42.0
1764,0.0,41.0
1765,41.0,42.0
1766,42.0,42.0
1767,84.0,41.0
1768,42.0,42.0
1769,41.0,42.0
1770,42.0,83.0
1771,42.0,42.0
1772,42.0,41.0
1773,42.0,41.0
1774,42.0,41.0
1775,41.0,42.0
1776,0.0,42.0
1777,42.0,42.0
1778,42.0,41.0
1779,0.0,42.0
1780,41.0,42.0
1781,41.0,42.0
1782,42.0,42.0
1783,42.0,41.0
1784,42.0,42.0
1785,41.0,42.0
1786,42.0,41.0
1787,41.0,42.0
1788,42.0,42.0
1789,42.0,42.0
1790,41.0,42.0
1791,41.0,42.0
1792,42.0,83.0
1793,41.0,42.0
1794,42.0,42.0
1795,42.0,83.0
1796,42.0,83.0
1797,41.0,42.0
1798,42.0,83.0
1799,42.0,41.0
1800,42.0,83.0
1801,41.0,42.0
1802,42.0,42.0
1803,42.0,83.0
1804,42.0,83.0
1805,0.0,42.0
1806,41.0,42.0
1807,0.0,41.0
1808,41.0,42.0
1809,42.0,42.0
1810,83.0,42.0
1811,42.0,41.0
1812,42.0,42.0
1813,0.0,42.0
1814,42.0,42.0
1815,41.0,42.0
1816,42.0,42.0
1817,42.0,42.0
1818,42.0,83.0
1819,42.0,41.0
1820,42.0,41.0
1821,42.0,41.0
1822,42.0,42.0
1823,41.0,42.0
1824,42.0,41.0
1825,42.0,41.0
1826,42.0,41.0
1827,42.0,41.0
1828,42.0,42.0
1829,41.0,42.0
1830,41.0,42.0
1831,42.0,41.0
1832,42.0,42.0
1833,0.0,42.0
1834,42.0,42.0
1835,0.0,42.0
1836,0.0,42.0
1837,42.0,42.0
1838,41.0,42.0
1839,41.0,42.0
1840,42.0,41.0
1841,42.0,42.0
1842,41.0,42.0
1843,41.0,42.0
1844,42.0,83.0
1845,42.0,41.0
1846,42.0,42.0
1847,42.0,41.0
1848,42.0,41.0
1849,42.0,42.0
1850,42.0,41.0
1851,41.0,84.0
1852,42.0,41.0
1853,41.0,42.0
1854,41.0,42.0
1855,41.0,42.0
1856,42.0,83.0
1857,41.0,84.0
1858,42.0,41.0
1859,0.0,42.0
1860,41.0,42.0
1861,42.0,83.0
1862,41.0,84.0
1863,42.0,42.0
1864,42.0,41.0
1865,41.0,42.0
1866,42.0,83.0
1867,42.0,41.0
1868,41.0,42.0
1869,41.0,42.0
1870,42.0,42.0
1871,42.0,41.0
1872,42.0,42.0
1873,41.0,42.0
1874,42.0,41.0
1875,42.0,83.0
1876,0.0,42.0
1877,0.0,41.0
1878,42.0,42.0
1879,42.0,41.0
1880,42.0,41.0
1881,83.0,42.0
1882,41.0,42.0
1883,41.0,42.0
1884,41.0,42.0
1885,41.0,42.0
1886,41.0,42.0
1887,41.0,42.0
1888,42.0,42.0
1889,42.0,42.0
1890,42.0,42.0
1891,42.0,42.0
1892,41.0,42.0
1893,41.0,42.0
1894,42.0,83.0
1895,42.0,42.0
1896,41.0,125.0
1897,41.0,42.0
1898,41.0,84.0
1899,41.0,42.0
1900,41.0,125.0
1901,41.0,83.0
1902,41.0,84.0
1903,42.0,42.0
1904,41.0,42.0
1905,41.0,42.0
1906,42.0,42.0
1907,42.0,83.0
1908,42.0,41.0
1909,41.0,84.0
1910,42.0,42.0
1911,41.0,84.0
1912,42.0,83.0
1913,42.0,42.0
1914,41.0,42.0
1915,42.0,42.0
1916,41.0,42.0
1917,42.0,42.0
1918,42.0,41.0
1919,41.0,42.0
1920,42.0,42.0
1921,42.0,83.0
1922,42.0,41.0
1923,125.0,84.0
1924,42.0,42.0
1925,42.0,42.0
1926,42.0,42.0
1927,42.0,42.0
1928,42.0,41.0
1929,41.0,42.0
1930,42.0,41.0
1931,41.0,42.0
1932,42.0,41.0
1933,42.0,42.0
1934,42.0,41.0
1935,41.0,84.0
1936,42.0,41.0
1937,42.0,83.0
1938,42.0,42.0
1939,42.0,42.0
1940,42.0,42.0
1941,42.0,42.0
1942,42.0,42.0
1943,42.0,41.0
1944,41.0,42.0
1945,41.0,84.0
1946,42.0,42.0
1947,42.0,42.0
1948,42.0,42.0
1949,42.0,41.0
1950,41.0,42.0
1951,42.0,42.0
1952,42.0,42.0
1953,42.0,41.0
1954,41.0,42.0
1955,42.0,42.0
1956,42.0,41.0
1957,41.0,42.0
1958,42.0,42.0
1959,41.0,42.0
1960,42.0,42.0
1961,42.0,42.0
1962,42.0,83.0
1963,42.0,41.0
1964,41.0,42.0
1965,42.0,41.0
1966,41.0,42.0
1967,42.0,41.0
1968,83.0,42.0
1969,42.0,42.0
1970,42.0,42.0
1971,41.0,42.0
1972,42.0,42.0
1973,41.0,42.0
1974,42.0,83.0
1975,42.0,42.0
1976,42.0,83.0
1977,41.0,84.0
1978,42.0,41.0
1979,41.0,42.0
1980,42.0,42.0
1981,41.0,42.0
1982,0.0,42.0
1983,83.0,42.0
1984,42.0,83.0
1985,42.0,42.0
1986,42.0,41.0
1987,41.0,42.0
1988,42.0,41.0
1989,83.0,42.0
1990,42.0,41.0
1991,42.0,42.0
1992,42.0,42.0
1993,41.0,42.0
1994,41.0,42.0
1995,42.0,83.0
1996,41.0,42.0
1997,42.0,41.0
1998,41.0,42.0
1999,42.0,42.0
2000,42.0,41.0
2001,41.0,42.0
2002,42.0,42.0
2003,42.0,41.0
2004,41.0,42.0
2005,42.0,42.0
2006,0.0,42.0
2007,42.0,41.0
2008,42.0,42.0
2009,41.0,42.0
2010,42.0,41.0
2011,42.0,42.0
2012,41.0,42.0
2013,0.0,41.0
2014,42.0,83.0
2015,42.0,42.0
2016,42.0,41.0
2017,42.0,42.0
2018,42.0,83.0
2019,42.0,83.0
2020,42.0,83.0
2021,42.0,83.0
2022,83.0,42.0
2023,41.0,42.0
2024,41.0,42.0
2025,42.0,41.0
2026,42.0,41.0
2027,42.0,41.0
2028,42.0,42.0
2029,41.0,42.0
2030,125.0,41.0
2031,0.0,42.0
2032,42.0,83.0
2033,42.0,41.0
2034,42.0,83.0
2035,42.0,42.0
2036,41.0,42.0
2037,41.0,42.0
2038,41.0,42.0
2039,42.0,42.0
2040,41.0,84.0
2041,41.0,125.0
2042,42.0,42.0
2043,42.0,42.0
2044,42.0,83.0
2045,42.0,41.0
2046,42.0,42.0
2047,41.0,208.0
2048,0.0,42.0
2049,42.0,42.0
2050,41.0,42.0
2051,42.0,42.0
2052,41.0,42.0
2053,41.0,42.0
2054,42.0,83.0
2055,42.0,41.0
2056,42.0,42.0
2057,42.0,41.0
2058,42.0,41.0
2059,42.0,41.0
2060,42.0,41.0
2061,42.0,42.0
2062,41.0,42.0
2063,41.0,42.0
2064,42.0,42.0
2065,42.0,41.0
2066,41.0,42.0
2067,42.0,42.0
2068,42.0,41.0
2069,41.0,84.0
2070,42.0,42.0
2071,42.0,83.0
2072,41.0,84.0
2073,84.0,84.0
2074,42.0,83.0
2075,0.0,42.0
2076,41.0,42.0
2077,42.0,41.0
2078,41.0,42.0
2079,42.0,42.0
2080,42.0,83.0
2081,41.0,84.0
2082,42.0,41.0
2083,42.0,41.0
2084,42.0,42.0
2085,41.0,42.0
2086,42.0,41.0
2087,41.0,42.0
2088,42.0,41.0
2089,41.0,42.0
2090,42.0,41.0
2091,42.0,42.0
2092,42.0,42.0
2093,42.0,42.0
2094,42.0,42.0
2095,42.0,42.0
2096,42.0,41.0
2097,42.0,41.0
2098,42.0,42.0
2099,42.0,42.0
2100,42.0,42.0
2101,83.0,42.0
2102,42.0,42.0
2103,42.0,42.0
2104,42.0,41.0
2105,41.0,42.0
2106,42.0,41.0
2107,42.0,41.0
2108,42.0,42.0
2109,42.0,41.0
2110,41.0,42.0
2111,42.0,41.0
2112,41.0,42.0
2113,42.0,42.0
2114,42.0,42.0
2115,41.0,42.0
2116,42.0,41.0
2117,42.0,42.0
2118,42.0,42.0
2119,42.0,83.0
2120,42.0,42.0
2121,42.0,42.0
2122,42.0,42.0
2123,41.0,83.0
2124,41.0,84.0
2125,42.0,41.0
2126,41.0,42.0
2127,41.0,83.0
2128,42.0,41.0
2129,41.0,42.0
2130,42.0,41.0
2131,41.0,42.0
2132,42.0,41.0
2133,41.0,42.0
2134,41.0,42.0
2135,42.0,41.0
2136,41.0,42.0
2137,42.0,83.0
2138,42.0,41.0
2139,42.0,42.0
2140,42.0,42.0
2141,42.0,41.0
2142,41.0,42.0
2143,42.0,42.0
2144,42.0,41.0
2145,41.0,42.0
2146,83.0,42.0
2147,42.0,41.0
2148,41.0,42.0
2149,41.0,42.0
2150,125.0,42.0
2151,42.0,42.0
2152,42.0,41.0
2153,42.0,42.0
2154,42.0,42.0
2155,42.0,41.0
2156,41.0,42.0
2157,41.0,42.0
2158,42.0,41.0
2159,42.0,42.0
2160,41.0,84.0
2161,42.0,83.0
2162,41.0,42.0
2163,42.0,83.0
2164,41.0,84.0
2165,42.0,41.0
2166,42.0,83.0
2167,41.0,42.0
2168,42.0,41.0
2169,83.0,42.0
2170,83.0,42.0
2171,42.0,42.0
2172,42.0,41.0
2173,42.0,42.0
2174,42.0,42.0
2175,42.0,42.0
2176,41.0,42.0
2177,42.0,41.0
2178,41.0,84.0
2179,42.0,41.0
2180,41.0,42.0
2181,42.0,42.0
2182,0.0,41.0
2183,41.0,42.0
2184,42.0,41.0
2185,42.0,83.0
2186,42.0,41.0
2187,42.0,42.0
2188,42.0,42.0
2189,42.0,42.0
2190,42.0,41.0
2191,41.0,42.0
2192,42.0,42.0
2193,42.0,41.0
2194,83.0,42.0
2195,41.0,42.0
2196,84.0,41.0
2197,41.0,84.0
2198,42.0,84.0
2199,41.0,42.0
2200,42.0,41.0
2201,41.0,42.0
2202,42.0,41.0
2203,41.0,42.0
2204,42.0,42.0
2205,42.0,41.0
2206,41.0,42.0
2207,42.0,41.0
2208,41.0,42.0
2209,41.0,42.0
2210,42.0,42.0
2211,41.0,42.0
2212,42.0,42.0
2213,42.0,41.0
2214,41.0,42.0
2215,42.0,41.0
2216,41.0,42.0
2217,83.0,42.0
2218,42.0,41.0
2219,42.0,41.0
2220,42.0,41.0
2221,42.0,42.0
2222,41.0,42.0
2223,42.0,41.0
2224,42.0,83.0
2225,42.0,83.0
2226,42.0,83.0
2227,0.0,42.0
2228,42.0,83.0
2229,41.0,42.0
2230,42.0,42.0
2231,41.0,42.0
2232,42.0,41.0
2233,42.0,42.0
2234,42.0,41.0
2235,42.0,42.0
2236,0.0,41.0
2237,0.0,41.0
2238,42.0,41.0
2239,41.0,42.0
2240,42.0,42.0
2241,42.0,42.0
2242,42.0,41.0
2243,41.0,42.0
2244,41.0,42.0
2245,84.0,41.0
2246,41.0,42.0
2247,42.0,83.0
2248,42.0,41.0
2249,42.0,42.0
2250,42.0,42.0
2251,42.0,41.0
2252,42.0,42.0
2253,42.0,42.0
2254,42.0,41.0
2255,83.0,42.0
2256,42.0,42.0
2257,42.0,41.0
2258,41.0,42.0
2259,41.0,42.0
2260,42.0,41.0
2261,42.0,42.0
2262,42.0,42.0
2263,42.0,41.0
2264,41.0,84.0
2265,42.0,41.0
2266,41.0,42.0
2267,42.0,41.0
2268,41.0,42.0
2269,41.0,42.0
2270,42.0,41.0
2271,41.0,42.0
2272,42.0,42.0
2273,42.0,83.0
2274,41.0,42.0
2275,42.0,42.0
2276,41.0,42.0
2277,41.0,42.0
2278,42.0,41.0
2279,41.0,42.0
2280,42.0,83.0
2281,42.0,41.0
2282,41.0,42.0
2283,42.0,125.0
2284,42.0,42.0
2285,42.0,83.0
2286,42.0,42.0
2287,42.0,83.0
2288,42.0,41.0
2289,42.0,42.0
2290,42.0,41.0
2291,42.0,83.0
2292,41.0,42.0
2293,41.0,84.0
2294,42.0,41.0
2295,41.0,84.0
2296,42.0,42.0
2297,42.0,42.0
2298,42.0,42.0
2299,41.0,42.0
2300,42.0,42.0
2301,41.0,42.0
2302,42.0,83.0
2303,41.0,42.0
2304,42.0,83.0
2305,41.0,84.0
2306,42.0,41.0
2307,41.0,42.0
2308,41.0,42.0
2309,0.0,41.0
2310,41.0,42.0
2311,41.0,42.0
2312,42.0,41.0
2313,41.0,42.0
2314,42.0,42.0
2315,42.0,42.0
2316,42.0,42.0
2317,42.0,41.0
2318,41.0,42.0
2319,41.0,42.0
2320,42.0,41.0
2321,42.0,41.0
2322,42.0,42.0
2323,42.0,41.0
2324,41.0,42.0
2325,42.0,42.0
2326,42.0,41.0
2327,83.0,83.0
2328,0.0,42.0
2329,41.0,42.0
2330,0.0,41.0
2331,42.0,41.0
2332,41.0,42.0
2333,42.0,42.0
2334,42.0,41.0
2335,41.0,42.0
2336,41.0,42.0
2337,42.0,41.0
2338,41.0,42.0
2339,0.0,42.0
2340,42.0,41.0
2341,41.0,42.0
2342,84.0,41.0
2343,41.0,42.0
2344,41.0,42.0
2345,42.0,41.0
2346,41.0,42.0
2347,42.0,42.0
2348,42.0,41.0
2349,41.0,42.0
2350,42.0,41.0
2351,41.0,42.0
2352,41.0,42.0
2353,41.0,42.0
2354,84.0,41.0
2355,41.0,42.0
2356,42.0,41.0
2357,42.0,42.0
2358,42.0,41.0
2359,41.0,42.0
2360,41.0,42.0
2361,42.0,41.0
2362,41.0,42.0
2363,42.0,42.0
2364,42.0,42.0
2365,42.0,41.0
2366,41.0,42.0
2367,42.0,42.0
2368,42.0,41.0
2369,42.0,42.0
2370,42.0,42.0
2371,83.0,42.0
2372,41.0,42.0
2373,42.0,41.0
2374,42.0,42.0
2375,0.0,42.0
2376,83.0,42.0
2377,42.0,41.0
2378,41.0,42.0
2379,42.0,42.0
2380,0.0,41.0
2381,42.0,41.0
2382,41.0,42.0
2383,41.0,42.0
2384,42.0,41.0
2385,41.0,42.0
2386,0.0,41.0
2387,42.0,41.0
2388,41.0,42.0
2389,42.0,42.0
2390,41.0,42.0
2391,42.0,125.0
2392,42.0,42.0
2393,42.0,41.0
2394,41.0,42.0
2395,42.0,41.0
2396,42.0,41.0
2397,41.0,42.0
2398,42.0,42.0
2399,42.0,41.0
2400,41.0,42.0
2401,42.0,41.0
2402,42.0,42.0
2403,42.0,41.0
2404,42.0,42.0
2405,41.0,42.0
2406,42.0,83.0
2407,41.0,42.0
2408,42.0,83.0
2409,41.0,42.0
2410,42.0,41.0
2411,41.0,42.0
2412,42.0,42.0
2413,42.0,42.0
2414,42.0,42.0
2415,42.0,41.0
2416,41.0,42.0
2417,42.0,42.0
2418,42.0,41.0
2419,0.0,42.0
2420,42.0,42.0
2421,42.0,41.0
2422,42.0,42.0
2423,42.0,42.0
2424,41.0,42.0
2425,41.0,42.0
2426,42.0,41.0
2427,41.0,42.0
2428,42.0,42.0
2429,41.0,42.0
2430,42.0,83.0
2431,0.0,42.0
2432,41.0,42.0
2433,42.0,83.0
2434,41.0,84.0
2435,42.0,41.0
2436,41.0,0.0
2437,42.0,42.0
2438,41.0,42.0
2439,42.0,83.0
2440,42.0,42.0
2441,41.0,84.0
2442,42.0,0.0
2443,42.0,83.0
2444,41.0,42.0
2445,42.0,83.0
2446,42.0,42.0
2447,41.0,84.0
2448,42.0,41.0
2449,42.0,42.0
2450,41.0,0.0
2451,42.0,42.0
2452,42.0,83.0
2453,41.0,42.0
2454,42.0,83.0
2455,41.0,84.0
2456,42.0,83.0
2457,42.0,42.0
2458,41.0,42.0
2459,42.0,42.0
2460,42.0,83.0
2461,41.0,42.0
2462,42.0,83.0
2463,41.0,42.0
2464,42.0,41.0
2465,41.0,42.0
2466,42.0,83.0
2467,83.0,84.0
2468,42.0,41.0
2469,42.0,42.0
2470,41.0,0.0
2471,42.0,83.0
2472,42.0,42.0
2473,41.0,42.0
2474,42.0,83.0
2475,83.0,84.0
2476,42.0,41.0
2477,42.0,42.0
2478,42.0,83.0
2479,0.0,42.0
2480,41.0,42.0
2481,42.0,41.0
2482,41.0,84.0
2483,42.0,83.0
2484,41.0,42.0
2485,42.0,83.0
2486,42.0,42.0
2487,42.0,83.0
2488,41.0,84.0
2489,42.0,83.0
2490,41.0,42.0
2491,42.0,83.0
2492,41.0,84.0
2493,41.0,84.0
2494,42.0,42.0
2495,42.0,41.0
2496,41.0,42.0
2497,0.0,42.0
2498,42.0,83.0
2499,42.0,42.0
2500,42.0,41.0
2501,83.0,42.0
2502,0.0,42.0
2503,42.0,42.0
2504,0.0,41.0
2505,42.0,41.0
2506,42.0,42.0
2507,42.0,42.0
2508,42.0,41.0
2509,42.0,42.0
2510,42.0,42.0
2511,42.0,41.0
2512,41.0,42.0
2513,41.0,42.0
2514,42.0,41.0
2515,42.0,42.0
2516,0.0,42.0
2517,42.0,42.0
2518,42.0,41.0
2519,41.0,42.0
2520,0.0,42.0
2521,42.0,42.0
2522,0.0,41.0
2523,42.0,41.0
2524,42.0,42.0
2525,41.0,42.0
2526,42.0,41.0
2527,42.0,84.0
2528,41.0,84.0
2529,42.0,41.0
2530,41.0,84.0
2531,42.0,42.0
2532,42.0,42.0
2533,42.0,41.0
2534,41.0,42.0
2535,41.0,42.0
2536,42.0,42.0
2537,42.0,41.0
2538,41.0,42.0
2539,42.0,42.0
2540,42.0,41.0
2541,41.0,42.0
2542,41.0,42.0
2543,42.0,41.0
2544,41.0,42.0
2545,0.0,42.0
2546,42.0,42.0
2547,42.0,41.0
2548,41.0,42.0
2549,42.0,42.0
2550,42.0,83.0
2551,42.0,42.0
2552,42.0,41.0
2553,41.0,42.0
2554,42.0,42.0
2555,42.0,41.0
2556,42.0,42.0
2557,41.0,42.0
2558,41.0,42.0
2559,42.0,166.0
2560,166.0,250.0
2561,42.0,83.0
2562,41.0,42.0
2563,42.0,41.0
2564,41.0,42.0
2565,42.0,41.0
2566,42.0,41.0
2567,42.0,42.0
2568,42.0,42.0
2569,0.0,41.0
2570,42.0,41.0
2571,42.0,42.0
2572,42.0,42.0
2573,42.0,1000.0
2574,42.0,41.0
2575,41.0,42.0
2576,42.0,41.0
2577,0.0,42.0
2578,41.0,42.0
2579,0.0,42.0
2580,0.0,42.0
2581,42.0,42.0
2582,42.0,41.0
2583,0.0,42.0
2584,0.0,42.0
2585,42.0,42.0
2586,0.0,42.0
2587,0.0,42.0
2588,42.0,42.0
2589,42.0,41.0
2590,41.0,42.0
2591,42.0,42.0
2592,42.0,41.0
2593,41.0,42.0
2594,41.0,42.0
2595,42.0,41.0
2596,42.0,41.0
2597,42.0,42.0
2598,0.0,42.0
2599,41.0,42.0
2600,42.0,42.0
2601,42.0,42.0
2602,42.0,42.0
2603,42.0,41.0
2604,0.0,42.0
2605,41.0,42.0
2606,42.0,41.0
2607,41.0,42.0
2608,41.0,42.0
2609,41.0,42.0
2610,0.0,41.0
2611,42.0,42.0
2612,42.0,83.0
2613,0.0,42.0
2614,0.0,42.0
2615,41.0,42.0
2616,42.0,42.0
2617,42.0,83.0
2618,41.0,42.0
2619,42.0,41.0
