n, time 
16, 1166.6
32, 2145.8
64, 1908.3
128, 366.6
256, 304.2
512, 466.6
1024, 712.5
2048, 375.0
4096, 479.2
8192, 462.5
16384, 500.0
32768, 962.5
65536, 1800.0
131072, 620.8
262144, 362.5
524288, 695.9
1048576, 891.7
